mutation_type	count
non-clustered|DEL|1-10kb	27
non-clustered|DEL|10-100kb	1
non-clustered|DUP|>10Mb	1
non-clustered|DUP|1-10kb	4
non-clustered|DUP|10-100kb	2
non-clustered|DUP|1Mb-10Mb	1
non-clustered|INV|>10Mb	1
non-clustered|INV|1-10kb	2
non-clustered|INV|10-100kb	1
non-clustered|TRA|	24
clustered|DEL|1-10kb	1
clustered|DEL|10-100kb	0
clustered|DEL|100kb-1Mb	0
clustered|DEL|1Mb-10Mb	0
clustered|DEL|>10Mb	0
clustered|DUP|1-10kb	0
clustered|DUP|10-100kb	0
clustered|DUP|100kb-1Mb	0
clustered|DUP|1Mb-10Mb	0
clustered|DUP|>10Mb	0
clustered|INV|1-10kb	0
clustered|INV|10-100kb	0
clustered|INV|100kb-1Mb	0
clustered|INV|1Mb-10Mb	0
clustered|INV|>10Mb	0
clustered|TRA|	0
non-clustered|DEL|100kb-1Mb	0
non-clustered|DEL|1Mb-10Mb	0
non-clustered|DEL|>10Mb	0
non-clustered|DUP|100kb-1Mb	0
non-clustered|INV|100kb-1Mb	0
non-clustered|INV|1Mb-10Mb	0
