signature	mode_exposure	mean_exposure	median_exposure	0%	100%	2.5%	25%	75%	97.5%
Signature 1	0.08745720289057446	0.08642144737600099	0.08677520818701964	0.045186962353783805	0.12759903071380008	0.06370366766948359	0.07849601029744875	0.09404927536203389	0.10979669822131378
Signature 2	0.09606436332727417	0.09640261327524981	0.09618145967648119	0.06680117122768597	0.12251282755937164	0.07967250941320438	0.0901086204854547	0.10307270875637126	0.11421984896695038
Signature 3	0.17098093738699657	0.16911376256367902	0.16977699846646163	0.07680398578266892	0.2602294082123248	0.10661906574205954	0.1479382431303618	0.19116416233010147	0.23452780380914742
Signature 4	5.702309274040367e-4	0.002048746952204395	0.0014342532785879265	3.3913524304644958e-6	0.013321624584015973	3.7765942037549884e-5	5.823780226416168e-4	0.0028919497281964866	0.007244253495575769
Signature 5	0.20150418973362433	0.17736233314850727	0.17636385447107333	0.0026262011906014486	0.43255458517459683	0.04093404493437286	0.1278491921323892	0.22270230513151587	0.31937655346822563
Signature 6	6.354415356925971e-4	0.0024841539906302287	0.0017879032084691297	9.118852362465514e-6	0.014547244586457436	8.758835206249864e-5	6.807580126232839e-4	0.0034338450794075067	0.00889530835589788
Signature 7	8.626429606915767e-4	0.0027114358148660625	0.001971578020961192	1.2663876938174587e-5	0.017541073964296584	6.74054210425578e-5	8.571447537427547e-4	0.0038406340577816153	0.009234275429003194
Signature 8	0.0775682703917211	0.0747900540470757	0.07446393889105422	0.005237747549525787	0.16401012356000522	0.02519702673075927	0.057086818007726185	0.09136157568361448	0.1274987431080519
Signature 9	0.08429741679599657	0.08718847687983827	0.08692380083269968	0.0304978538604673	0.15625120273479304	0.05147494407687913	0.07487328942515979	0.09974497223105361	0.12339597949833966
Signature 10	4.3012780453693814e-4	0.001353359400906498	9.098871387492851e-4	5.9508388275255893e-8	0.010984791500353183	3.497660320217806e-5	4.233042402019225e-4	0.001880442114695694	0.004739808532757647
Signature 11	0.03570202122167255	0.0392671305136972	0.039165700086772476	0.00646011783010203	0.07736538227053467	0.017605495110359377	0.03157772744204319	0.0473836420170448	0.06033753734093088
Signature 12	0.052715278573123206	0.05469285299584474	0.05426535153279599	2.9931331506581415e-4	0.14086537410222746	0.010887035927136636	0.03759519733612345	0.07030099007405619	0.10342650108325654
Signature 13	3.038921899780362e-4	0.0012134999463834176	8.374245767602336e-4	3.4947729557968677e-6	0.008733938906412183	3.21728776137981e-5	3.219775970838257e-4	0.0017169968917165584	0.004703600797683223
Signature 14	3.938678491121825e-4	0.001393488722888026	9.487733577622903e-4	3.059963476696521e-6	0.007944347109081807	4.3236768542887944e-5	3.8983742833974277e-4	0.0018651524531318117	0.005213282495825306
Signature 15	8.987329733352032e-4	0.0025597672268264276	0.00181777715163696	1.095533622305651e-6	0.01611462573797204	3.926024946996333e-5	8.324812346939378e-4	0.0034707565907722464	0.009389252466753465
Signature 16	0.11274377172189702	0.11117925738989518	0.11099952803665203	0.004227514122886204	0.22727891993454408	0.036494822909901845	0.08356257294440225	0.13759269867002943	0.18808830169774224
Signature 17	7.669691328131961e-4	0.0030468213981948065	0.0023306710632964326	1.4522792436144388e-6	0.017787128828287823	5.649755313533135e-5	8.863318720039682e-4	0.004152994039821298	0.010709225906506657
Signature 18	7.803898446665728e-4	0.00220814605118147	0.00156553908494524	8.482710362512857e-6	0.014382790450919686	8.002903822147328e-5	7.375372693762088e-4	0.002999268752700941	0.0073177589222665745
Signature 19	0.0015285160947782232	0.005674770498746158	0.004023825527640806	1.8855197780010666e-6	0.04170947471599366	1.742002954188238e-4	0.0015417600226668086	0.007988925379985247	0.020324992348287958
Signature 20	7.501515420184819e-4	0.0020790248847299543	0.001546525083714301	5.439256906563755e-6	0.012302261335257773	8.752965983126303e-5	6.982606266916866e-4	0.0029203100696644025	0.0077178169685694275
Signature 21	7.954000414992213e-4	0.0027689186504618506	0.001875755487943393	2.508696062998631e-6	0.019101903419736162	5.7348416690565e-5	7.640217504421868e-4	0.003804737386817734	0.010534097148615343
Signature 22	5.204165103762832e-4	0.0017563349327868732	0.0012206516529493024	4.971571138412916e-7	0.011564925845785015	5.8828251115374256e-5	4.913431535400889e-4	0.0025606061081166463	0.005959211170680694
Signature 23	6.678903371712323e-4	0.002113815416064432	0.0015474014369529997	4.4792753554745435e-6	0.0128420122367959	7.335538656504208e-5	6.824660219069562e-4	0.0029880223913516172	0.00756569774718431
Signature 24	3.4655637617944353e-4	0.001109387627272691	7.425150183439646e-4	2.1124961580641605e-7	0.008632542666816722	2.527229867229319e-5	3.205107933047401e-4	0.001629346655727853	0.004130752448328894
Signature 25	0.018080170207198508	0.028651667109248668	0.02587519482483116	3.0302432933766916e-4	0.10047689618104957	0.002252599896182656	0.014847113388525002	0.040253739662700794	0.06863891251961901
Signature 26	0.0015187911362571876	0.004914981141266456	0.0034138577288899616	1.2303449664274976e-5	0.031014571282244545	1.5795834345712419e-4	0.0015162670423052836	0.006963051767545407	0.017188240893682167
