signature	mode_exposure	mean_exposure	median_exposure	0%	100%	2.5%	25%	75%	97.5%
Signature 1	0.11138844074340098	0.10749904107325342	0.1078568738456929	0.0702466776525332	0.15079194284577424	0.08208664175357105	0.09880050761690497	0.11594756714231427	0.13351917924431717
Signature 2	0.0031263425315128965	0.006490339383935296	0.005619749328036714	2.3508219006305142e-5	0.026267576533126853	4.0277486375989787e-4	0.0027869910591403944	0.009383191596059354	0.016653421005513078
Signature 3	0.3362060274560422	0.33470406084331206	0.33555179917210376	0.20074879345685961	0.4378981270314513	0.2681267188143414	0.3134425796664202	0.3566215613511416	0.3965623468014997
Signature 4	0.0022787827837801853	0.006589985117171606	0.00529017620030686	3.26708835242691e-5	0.03301695091771753	2.374294285379177e-4	0.0022367354674208604	0.009604543156057806	0.02045736183005344
Signature 5	0.029427894712537192	0.06086972186079118	0.04931559186343526	3.6973094151418283e-4	0.2360362081307003	0.003015918132537595	0.02443799201721293	0.08741697373877315	0.17038284211271917
Signature 6	0.0026132934354625168	0.007552887260290071	0.005448381840681811	3.1940555402660134e-6	0.052404724178872465	2.835089346616145e-4	0.0023830360362417017	0.01083520040032909	0.025425488327671227
Signature 7	9.818970205260525e-4	0.0033812935005094087	0.002412214867721468	5.844385716602547e-6	0.017195544681429236	1.2720617476743052e-4	9.518017553010285e-4	0.004865946832359674	0.011937961846464102
Signature 8	0.028360569099464873	0.03303627522255054	0.030891621233907766	8.587094696461212e-5	0.11851088795560383	9.544676182100869e-4	0.015890167561685667	0.04772049028250408	0.07786268254620254
Signature 9	0.07902973520609922	0.07668445955259007	0.07704795871525585	0.027334126189797997	0.13631578398718552	0.039621626847616796	0.06339137992288087	0.08931348180249084	0.11283863830410557
Signature 10	5.776437299030853e-4	0.002249643796996011	0.0015697561723077165	1.0895205514572164e-5	0.018696931865618115	6.577674481355429e-5	6.273680321900049e-4	0.003101574290680001	0.0078134352620859
Signature 11	0.014880671461089654	0.016345047500007648	0.015318960080034177	9.356569182592573e-5	0.056456708672626865	7.947577684841313e-4	0.008807588767964713	0.02254473281617249	0.037016156569807765
Signature 12	0.009291727728047476	0.02369294228588761	0.02001032191685486	1.0061390003954887e-4	0.0957626090708715	0.0010404365531281174	0.00976261473163745	0.03375852832137141	0.06793779829707591
Signature 13	0.0080502598718762	0.00953305777691443	0.00901089321946321	6.388770651485624e-5	0.024890624004172003	8.225056868903614e-4	0.005994926005423541	0.012941481675954767	0.020503161960860234
Signature 14	8.519319718574957e-4	0.0034028094810923896	0.0023269727597472825	8.657833885195017e-7	0.02508910454308659	4.905924489912418e-5	9.161150210107354e-4	0.004683805676213899	0.011692290344936405
