mutation_type	count
non-clustered|DEL|>10Mb	4
non-clustered|DEL|1-10kb	42
non-clustered|DEL|10-100kb	26
non-clustered|DEL|100kb-1Mb	23
non-clustered|DEL|1Mb-10Mb	11
non-clustered|DUP|>10Mb	3
non-clustered|DUP|1-10kb	20
non-clustered|DUP|10-100kb	25
non-clustered|DUP|100kb-1Mb	20
non-clustered|DUP|1Mb-10Mb	12
non-clustered|INV|>10Mb	9
non-clustered|INV|1-10kb	9
non-clustered|INV|10-100kb	11
non-clustered|INV|100kb-1Mb	15
non-clustered|INV|1Mb-10Mb	15
non-clustered|TRA|	129
clustered|DEL|1-10kb	8
clustered|DEL|10-100kb	17
clustered|DEL|100kb-1Mb	13
clustered|DEL|1Mb-10Mb	6
clustered|DUP|1-10kb	6
clustered|DUP|10-100kb	24
clustered|DUP|100kb-1Mb	13
clustered|DUP|1Mb-10Mb	6
clustered|INV|1-10kb	1
clustered|INV|10-100kb	1
clustered|INV|100kb-1Mb	7
clustered|INV|1Mb-10Mb	2
clustered|TRA|	12
clustered|DEL|>10Mb	0
clustered|DUP|>10Mb	0
clustered|INV|>10Mb	0
