signature	mode_exposure	mean_exposure	median_exposure	0%	100%	2.5%	25%	75%	97.5%
Signature 1	0.01981351745047276	0.021243335248092375	0.02106802966119406	5.259501796999193e-4	0.04510040178859399	0.00609234931873374	0.016059073985800008	0.026607179247983972	0.03651656828458902
Signature 2	0.12480539878022406	0.12621764202403382	0.126071373379174	0.10784727786850193	0.14907479674352797	0.11445631742538308	0.12201911478793714	0.13031370052371383	0.1378399593390031
Signature 3	0.037807848406272555	0.03936193672451757	0.03852698574213126	2.1687229228049335e-4	0.10476347579527118	0.005246276017589513	0.02462967386781626	0.0526971490632865	0.0811291931968009
Signature 4	3.689394367717725e-4	0.0010876036081321947	8.062789433851019e-4	9.235162644190319e-7	0.00681827426524848	2.9020947186650344e-5	3.528117566108886e-4	0.0015377673068086568	0.003872731462313109
Signature 5	0.26166776108641	0.25867359949717433	0.2604156059411732	0.1050685434038279	0.3977462490734887	0.16346129989077637	0.22615174724694886	0.2912578986197512	0.3563103637322309
Signature 6	4.900797964778518e-4	0.001609395618761988	0.001145658934269395	1.2506948971004818e-6	0.01332542296469736	4.580799858186689e-5	5.236830612490394e-4	0.002161236500802659	0.005568795512936069
Signature 7	4.027461887093301e-4	0.0011819556996376646	8.676593693961053e-4	2.4022130890916502e-6	0.008730687740104512	3.373527028752349e-5	3.9754123570171065e-4	0.00164826411639	0.004078468908718434
Signature 8	0.2268212809207657	0.22954034382198749	0.22887482408678045	0.15607346577401282	0.29403714495435057	0.19281408044756584	0.21694278329364675	0.24161231635109992	0.26756359595415297
Signature 9	0.13918283191929548	0.13659045932818037	0.13684013231448577	0.09074200262393341	0.18601620561530804	0.10773931599568878	0.12556134059224866	0.14681415136166942	0.16693070679859764
Signature 10	2.237393559680411e-4	8.494106515245166e-4	5.863226542748796e-4	4.5015475928154893e-7	0.006256883852252132	1.1136798984581699e-5	2.3253514535650707e-4	0.0011461449713361849	0.003255043160204404
Signature 11	0.018222445677633398	0.014314710922009928	0.013925041277172959	9.768786785326247e-5	0.04130302271253247	0.0017641850111607042	0.008749696835911126	0.019300353821533927	0.029442399489324166
Signature 12	0.02607935273443185	0.028233204791212035	0.027168113188023237	3.302814962655573e-4	0.08184577547653125	0.001877603538879531	0.01712427114100808	0.038511584240605565	0.05853524778225093
Signature 13	1.6809813613585692e-4	4.683695791356352e-4	3.437624764775264e-4	4.3806780256052233e-7	0.0026587371504589994	1.8740142164705223e-5	1.6557713111219817e-4	6.288520908475358e-4	0.0015594256002535774
Signature 14	2.089545860848996e-4	7.208261445845504e-4	4.818996437301569e-4	1.1141179774619683e-6	0.005033251301375797	6.990526288389437e-6	1.999587045735835e-4	9.760769438966765e-4	0.002577072732580742
Signature 15	3.6244958141969184e-4	0.0012374660486316421	8.760926295405217e-4	2.437694541871962e-6	0.008290836003905759	3.439816438768492e-5	3.5602628675273154e-4	0.0017290345089869717	0.004691791383684112
Signature 16	0.07809680431216048	0.07882367096916047	0.07872745999440797	0.011330349238163067	0.17608637425238216	0.024210301098012053	0.060986634868290826	0.09613812574541816	0.13211138277922674
Signature 17	4.3141830124275094e-4	0.0014313802389299285	0.0010693725987567528	3.215028060996713e-7	0.009284827326890895	8.221689187091679e-5	4.5729622797954854e-4	0.001979514574995754	0.004743038424387891
Signature 18	8.308338836999244e-4	0.00191327577025955	0.0013625796214021355	8.117287543076252e-6	0.012310319894676125	4.272900145849486e-5	6.713910533133853e-4	0.0026954649448983365	0.006215409649481952
Signature 19	9.238234873447453e-4	0.002932112191270949	0.002288405072529101	9.132780435013413e-6	0.018677954205104073	1.0419882363614787e-4	9.739453307564296e-4	0.004128301630699856	0.010090132451213239
Signature 20	2.6152186377560857e-4	0.001080510904739268	7.63796290537932e-4	1.6405814147275976e-6	0.006170660932666572	2.0685231356122586e-5	2.849698921038885e-4	0.0015040484549282435	0.0041912019955176955
Signature 21	4.044052598505992e-4	0.0015330957519289405	0.0010747736153285377	5.52609830260899e-6	0.0105966211429168	4.551937522917455e-5	4.184179252524931e-4	0.0020289932987035374	0.005662953780478197
Signature 22	1.75128233748786e-4	6.274299070619122e-4	4.4410130862130974e-4	1.6414215176498082e-7	0.006228157717259619	1.5058462146658304e-5	1.8898596979903602e-4	8.587739550657752e-4	0.002287458306590204
Signature 23	3.3069965186946525e-4	0.001128215239800837	7.432526105134311e-4	5.9757811905673225e-6	0.0088810040895133	4.818735425788297e-5	3.256283179520976e-4	0.0016028810372787992	0.003983443089153856
Signature 24	1.9184113588030575e-4	6.059286617606504e-4	3.967099091049372e-4	2.3881917905653035e-7	0.004247968457489176	1.6007259652015733e-5	1.8019822868448442e-4	8.197074603358231e-4	0.0024425964067366188
Signature 25	0.0016783654135461216	0.005426183539835785	0.004128850266708518	9.05831042794135e-7	0.04114057544794324	1.3280061276459067e-4	0.0018532508094329186	0.0075863171010874	0.01762661102590464
Signature 26	5.087184685154248e-4	0.0017837619702895738	0.0013387896153263976	7.131850625949079e-7	0.010700100443847314	6.801473381559849e-5	5.418506638478442e-4	0.0024511826740739712	0.006326711607091536
Signature 27	0.02596785876795896	0.026113631125395963	0.025982824755272072	0.01433030845093095	0.04119833230397816	0.017129682200944737	0.022967462082602884	0.02912126235130742	0.03594285801921557
Signature 28	9.877229919183926e-4	0.003155063541712807	0.002474626415574957	1.133520566905381e-6	0.014928863966454785	1.2417101339864443e-4	0.001073627788967251	0.004587747584103878	0.009953063382171664
Signature 29	4.620351602937469e-4	0.0016172873237939775	0.0010849022971005015	2.2592179637235278e-7	0.012140787743542807	2.0731615112147854e-5	4.821437829757635e-4	0.002252428988364435	0.006080894749437984
Signature 30	0.004667661821613337	0.01049819315644331	0.0085815113746379	4.112133438115934e-5	0.03862965650540902	4.5531237083699065e-4	0.0041926165113470495	0.01513328361549738	0.031047932786380975
