mutation_type	count
non-clustered|DEL|>10Mb	8
non-clustered|DEL|1-10kb	27
non-clustered|DEL|10-100kb	15
non-clustered|DEL|100kb-1Mb	10
non-clustered|DEL|1Mb-10Mb	7
non-clustered|DUP|>10Mb	6
non-clustered|DUP|1-10kb	10
non-clustered|DUP|10-100kb	12
non-clustered|DUP|100kb-1Mb	14
non-clustered|DUP|1Mb-10Mb	4
non-clustered|INV|>10Mb	12
non-clustered|INV|1-10kb	3
non-clustered|INV|10-100kb	15
non-clustered|INV|100kb-1Mb	15
non-clustered|INV|1Mb-10Mb	15
non-clustered|TRA|	191
clustered|DEL|1-10kb	0
clustered|DEL|10-100kb	0
clustered|DEL|100kb-1Mb	0
clustered|DEL|1Mb-10Mb	0
clustered|DEL|>10Mb	0
clustered|DUP|1-10kb	0
clustered|DUP|10-100kb	0
clustered|DUP|100kb-1Mb	0
clustered|DUP|1Mb-10Mb	0
clustered|DUP|>10Mb	0
clustered|INV|1-10kb	0
clustered|INV|10-100kb	0
clustered|INV|100kb-1Mb	0
clustered|INV|1Mb-10Mb	0
clustered|INV|>10Mb	0
clustered|TRA|	0
