chr	start	end	copynumber	A	B	ploidy	cellularity	lohtype
chr1	10109	102951	8	4	4	6	0.92	BCNA
chr1	108826	554808	7	5	2	6	0.92	ASCNA
chr1	559480	12923962	6	3	3	6	0.92	HET
chr1	12924426	13385857	6	3	3	6	0.92	HET
chr1	13422723	16773074	6	3	3	6	0.92	HET
chr1	16832705	17226257	6	3	3	6	0.92	HET
chr1	17226453	120531321	6	3	3	6	0.92	HET
chr1	120533042	121485416	6	4	2	6	0.92	HET
chr1	142535974	145085161	6	3	3	6	0.92	HET
chr1	145085177	145380949	7	5	2	6	0.92	ASCNA
chr1	145381187	147961122	6	3	3	6	0.92	HET
chr1	147968892	249061988	6	3	3	6	0.92	HET
chr1	249062394	249240395	8	4	4	6	0.92	BCNA
chr2	12064	75153550	6	3	3	6	0.92	HET
chr2	75155355	75238771	6	4	2	6	0.92	HET
chr2	75241702	87130299	6	6	0	6	0.92	NLOH
chr2	87132188	89513365	6	3	3	6	0.92	HET
chr2	89519030	92323426	6	3	3	6	0.92	HET
chr2	95332321	110485760	6	3	3	6	0.92	HET
chr2	110532088	110837098	6	4	2	6	0.92	HET
chr2	110863055	133050245	6	3	3	6	0.92	HET
chr2	133051041	216212089	6	3	3	6	0.92	HET
chr2	216212339	216271675	17	9	8	6	0.92	ASCNA
chr2	216272514	243184570	6	3	3	6	0.92	HET
chr3	60197	220721	9	5	4	6	0.92	ASCNA
chr3	221081	86502137	6	3	3	6	0.92	HET
chr3	86519469	86596836	6	3	3	6	0.92	HET
chr3	86606126	90503193	6	5	1	6	0.92	HET
chr3	93506547	168869121	6	3	3	6	0.92	HET
chr3	168871003	168948084	3	3	0	6	0.92	DLOH
chr3	168949093	195365616	6	3	3	6	0.92	HET
chr3	195366853	195513345	6	4	2	6	0.92	HET
chr3	195515568	197947425	6	6	0	6	0.92	NLOH
chr4	10059	73508	10	6	4	6	0.92	ASCNA
chr4	94481	49095033	6	3	3	6	0.92	HET
chr4	49095407	49659740	6	4	2	6	0.92	HET
chr4	52660974	190529306	6	3	3	6	0.92	HET
chr4	190530717	190679291	7	5	2	6	0.92	ASCNA
chr4	190682294	190962237	8	4	4	6	0.92	BCNA
chr4	190968889	191044232	9	6	3	6	0.92	ASCNA
chr5	11582	701629	8	4	4	6	0.92	BCNA
chr5	702144	838969	6	4	2	6	0.92	HET
chr5	840342	46405572	6	3	3	6	0.92	HET
chr5	49405845	61606516	6	3	3	6	0.92	HET
chr5	61619971	63019432	6	6	0	6	0.92	NLOH
chr5	63022270	63097543	6	6	0	6	0.92	NLOH
chr5	63131024	66615608	6	6	0	6	0.92	NLOH
chr5	66619692	66632003	10	9	1	6	0.92	ASCNA
chr5	66633163	68266196	6	6	0	6	0.92	NLOH
chr5	68268691	68309958	6	5	1	6	0.92	HET
chr5	68321160	68859596	6	6	0	6	0.92	NLOH
chr5	68859910	69339392	6	3	3	6	0.92	HET
chr5	69367063	69476396	6	3	3	6	0.92	HET
chr5	69479268	69678018	8	4	4	6	0.92	BCNA
chr5	69738698	70309998	8	4	4	6	0.92	BCNA
chr5	70313444	70668657	8	4	4	6	0.92	BCNA
chr5	70672350	71991948	6	6	0	6	0.92	NLOH
chr5	71993221	72000877	7	6	1	6	0.92	ASCNA
chr5	72001265	73799410	6	6	0	6	0.92	NLOH
chr5	73799432	73815680	4	4	0	6	0.92	DLOH
chr5	73816162	75010002	6	6	0	6	0.92	NLOH
chr5	75010519	75046570	5	5	0	6	0.92	DLOH
chr5	75047102	75305297	6	6	0	6	0.92	NLOH
chr5	75305692	75315161	6	6	0	6	0.92	NLOH
chr5	75315645	76841042	6	6	0	6	0.92	NLOH
chr5	76843481	78042139	6	6	0	6	0.92	NLOH
chr5	78049214	78118066	7	6	1	6	0.92	ASCNA
chr5	78118602	79765086	6	6	0	6	0.92	NLOH
chr5	79765920	79855876	6	6	0	6	0.92	NLOH
chr5	79857337	80032016	6	6	0	6	0.92	NLOH
chr5	80038884	80291222	6	6	0	6	0.92	NLOH
chr5	80291972	83032024	6	6	0	6	0.92	NLOH
chr5	83032858	83049050	5	5	0	6	0.92	DLOH
chr5	83051413	90236422	6	6	0	6	0.92	NLOH
chr5	90272113	90310720	7	6	1	6	0.92	ASCNA
chr5	90311099	90601290	6	6	0	6	0.92	NLOH
chr5	90614865	90641597	5	5	0	6	0.92	DLOH
chr5	90642430	93187370	6	6	0	6	0.92	NLOH
chr5	93187774	93283219	6	6	0	6	0.92	NLOH
chr5	93284432	96574646	6	6	0	6	0.92	NLOH
chr5	96610998	96811264	6	6	0	6	0.92	NLOH
chr5	96813260	99164407	6	6	0	6	0.92	NLOH
chr5	99164661	99169004	13	12	1	6	0.92	ASCNA
chr5	99169559	99721371	6	6	0	6	0.92	NLOH
chr5	99724139	99735178	7	6	1	6	0.92	ASCNA
chr5	99735203	100405368	6	6	0	6	0.92	NLOH
chr5	100410317	100425804	6	6	0	6	0.92	NLOH
chr5	100426787	103826274	6	6	0	6	0.92	NLOH
chr5	103826426	103837896	5	5	0	6	0.92	DLOH
chr5	103838556	106574876	6	6	0	6	0.92	NLOH
chr5	106575386	106619438	8	7	1	6	0.92	ASCNA
chr5	106620970	108634292	6	6	0	6	0.92	NLOH
chr5	108634765	108702846	6	3	3	6	0.92	HET
chr5	108727197	110418674	6	6	0	6	0.92	NLOH
chr5	110423366	110492081	6	6	0	6	0.92	NLOH
chr5	110492287	113218875	6	6	0	6	0.92	NLOH
chr5	113248130	113813221	6	6	0	6	0.92	NLOH
chr5	113827230	114446544	6	6	0	6	0.92	NLOH
chr5	114513668	116933109	6	6	0	6	0.92	NLOH
chr5	116933316	116937824	12	11	1	6	0.92	ASCNA
chr5	116938953	117149497	6	6	0	6	0.92	NLOH
chr5	117182317	117321052	6	6	0	6	0.92	NLOH
chr5	117330216	119615387	6	6	0	6	0.92	NLOH
chr5	119616015	119618794	10	9	1	6	0.92	ASCNA
chr5	119619119	119925692	6	6	0	6	0.92	NLOH
chr5	119964369	120127303	7	6	1	6	0.92	ASCNA
chr5	120138313	122680189	6	6	0	6	0.92	NLOH
chr5	122684765	122742341	6	6	0	6	0.92	NLOH
chr5	122744178	124652406	6	6	0	6	0.92	NLOH
chr5	124653374	124751699	6	6	0	6	0.92	NLOH
chr5	124752442	125210708	6	6	0	6	0.92	NLOH
chr5	125213518	125229066	5	5	0	6	0.92	DLOH
chr5	125230365	127780177	6	6	0	6	0.92	NLOH
chr5	127782940	127875562	7	7	0	6	0.92	ASCNA
chr5	127875677	130088525	6	6	0	6	0.92	NLOH
chr5	130089780	130108726	6	6	0	6	0.92	NLOH
chr5	130117261	133848917	6	6	0	6	0.92	NLOH
chr5	133848965	133854314	17	16	1	6	0.92	ASCNA
chr5	133857708	136843190	6	6	0	6	0.92	NLOH
chr5	136873870	136941394	6	3	3	6	0.92	HET
chr5	136948231	139168126	6	6	0	6	0.92	NLOH
chr5	139184632	139508113	6	6	0	6	0.92	NLOH
chr5	139519181	139856491	6	6	0	6	0.92	NLOH
chr5	139876046	140099022	6	6	0	6	0.92	NLOH
chr5	140109784	142308190	6	6	0	6	0.92	NLOH
chr5	142309146	142396267	6	6	0	6	0.92	NLOH
chr5	142439440	143165024	6	6	0	6	0.92	NLOH
