chr	start	end	width	nvar	copy_number	lohtype	major_allele	minor_allele
chr1	10109	759113	749004.0	2	3	ASCNA		
chr1	759538	12919173	12159635.0	2	2	NLOH		
chr1	12919623	13688149	768526.0	2	2	HET		
chr1	13688344	16833275	3144931.0	2	2	HET		
chr1	16833352	17278998	445646.0	2	3	ASCNA		
chr1	17284494	120469687	103185193.0	2	2	HET		
chr1	120533042	121485379	952337.0	2	3	ASCNA		
chr1	142535887	144844106	2308219.0	2	2	HET		
chr1	144844575	145180664	336089.0	2	2	HET		
chr1	145181147	145383814	202667.0	2	4	ASCNA		
chr1	145385579	147919966	2534387.0	2	2	HET		
chr1	147920583	149751243	1830660.0	2	2	HET		
chr1	149752587	206329493	56576906.0	2	2	HET		
chr1	206482828	206575536	92708.0	2	2	HET		
chr1	206576843	234908600	28331757.0	2	2	HET		
chr1	234909298	234946912	37614.0	2	3	ASCNA		
chr1	234947062	248596210	13649148.0	2	2	HET		
chr1	248596944	248737454	140510.0	2	2	HET		
chr1	248738649	248807820	69171.0	2	2	HET		
chr1	248808114	248822273	14159.0	2	2	HET		
chr1	248822289	249217916	395627.0	2	2	HET		
chr1	249232633	249240545	7912.0	2	6	ASCNA		
chr2	23368	23418944	23395576.0	2	2	HET		
chr2	23446760	87078461	63631701.0	2	2	HET		
chr2	87090569	88283445	1192876.0	2	2	HET		
chr2	88302780	89830578	1527798.0	2	3	ASCNA		
chr2	89831039	89889165	58126.0	2	1	DLOH		
chr2	89907923	92249427	2341504.0	2	2	HET		
chr2	92252312	92323426	71114.0	2	1	DLOH		
chr2	95330387	97828111	2497724.0	2	2	HET		
chr2	97828433	97991959	163526.0	2	1	DLOH		
chr2	98013122	111975203	13962081.0	2	2	HET		
chr2	111979004	114171695	2192691.0	2	2	NLOH		
chr2	114173484	114416495	243011.0	2	2	HET		
chr2	114417240	132940582	18523342.0	2	2	HET		
chr2	132942345	133044465	102120.0	2	1	DLOH		
chr2	133045010	216176316	83131306.0	2	2	HET		
chr2	216202372	216295014	92642.0	2	11	ASCNA		
chr2	216295312	228243310	11947998.0	2	2	NLOH		
chr2	228243905	228257933	14028.0	2	4	ASCNA		
chr2	228262669	243184570	14921901.0	2	2	NLOH		
chr3	60596	58625559	58564963.0	2	2	NLOH		
chr3	58625975	75568281	16942306.0	2	2	HET		
chr3	75568327	75780917	212590.0	2	3	ASCNA		
chr3	75780952	90497467	14716515.0	2	2	HET		
chr3	93505463	195311032	101805569.0	2	2	HET		
chr3	195319285	195457133	137848.0	2	3	ASCNA		
chr3	195457853	195723850	265997.0	2	2	HET		
chr3	195724604	197922510	2197906.0	2	2	HET		
chr4	10059	68100	58041.0	2	5	ASCNA		
chr4	68786	49094932	49026146.0	2	2	HET		
chr4	49095165	49659437	564272.0	2	1	DLOH		
chr4	52667091	57987433	5320342.0	2	2	HET		
chr4	57989536	95338951	37349415.0	2	2	HET		
chr4	95339333	95680361	341028.0	2	2	HET		
chr4	95680865	190540601	94859736.0	2	2	HET		
chr4	190540666	190708432	167766.0	2	2	NLOH		
chr4	190710361	190955595	245234.0	2	2	HET		
chr4	190962237	191044097	81860.0	2	5	ASCNA		
chr5	11582	14151799	14140217.0	2	2	HET		
chr5	14153998	14509966	355968.0	2	4	BCNA		
chr5	14510517	21532544	7022027.0	2	2	HET		
chr5	21533187	34175809	12642622.0	2	2	HET		
chr5	34176643	34209632	32989.0	2	3	ASCNA		
chr5	34210996	46404791	12193795.0	2	2	NLOH		
chr5	49405845	49440841	34996.0	2	2	HET		
chr5	49440893	68927676	19486783.0	2	2	HET		
chr5	68928446	70623237	1694791.0	2	3	ASCNA		
chr5	70656089	154413740	83757651.0	2	2	HET		
chr5	154416309	155886268	1469959.0	2	2	HET		
chr5	155890891	175336998	19446107.0	2	2	HET		
chr5	175337674	175568084	230410.0	2	2	HET		
chr5	175584973	180900699	5315726.0	2	2	NLOH		
chr6	73926	297039	223113.0	2	2	HET		
chr6	301312	382246	80934.0	2	4	ASCNA		
chr6	382537	32444709	32062172.0	2	2	HET		
chr6	32445079	32658211	213132.0	2	2	HET		
chr6	32658335	52051957	19393622.0	2	2	NLOH		
chr6	52053596	57368626	5315030.0	2	2	HET		
chr6	57369340	57593782	224442.0	2	1	DLOH		
chr6	57594400	58775321	1180921.0	2	2	NLOH		
chr6	58775550	58779574	4024.0	2	0	HOMD		
chr6	61880472	73918583	12038111.0	2	2	HET		
chr6	73921200	171021411	97100211.0	2	2	HET		
chr7	23987	5954463	5930476.0	2	2	HET		
chr7	5956211	6021808	65597.0	2	6	ASCNA		
chr7	6022629	6806605	783976.0	2	3	ASCNA		
chr7	6810363	6851361	40998.0	2	4	ASCNA		
chr7	6853738	56990432	50136694.0	2	2	HET		
chr7	56992408	57150663	158255.0	2	1	DLOH		
chr7	57159947	57619915	459968.0	2	2	HET		
chr7	57621951	57774577	152626.0	2	2	HET		
chr7	57775621	58053875	278254.0	2	2	HET		
chr7	61054783	61983425	928642.0	2	2	HET		
chr7	61983666	62461904	478238.0	2	2	HET		
chr7	62462554	62954893	492339.0	2	4	ASCNA		
chr7	62954903	62976611	21708.0	2	3	ASCNA		
chr7	62976920	63102873	125953.0	2	4	ASCNA		
chr7	63104037	64976113	1872076.0	2	2	HET		
chr7	64976798	65290280	313482.0	2	2	HET		
chr7	65291308	76572633	11281325.0	2	2	HET		
chr7	76576289	76693181	116892.0	2	4	ASCNA		
chr7	76693281	90235648	13542367.0	2	2	HET		
chr7	90236049	102130059	11894010.0	2	2	HET		
chr7	102132185	102395394	263209.0	2	2	HET		
chr7	102398874	104539890	2141016.0	2	2	HET		
chr7	104540187	127220918	22680731.0	2	2	HET		
chr7	127222157	134456444	7234287.0	2	2	NLOH		
chr7	134458291	134673607	215316.0	2	4	BCNA		
chr7	134677581	143913081	9235500.0	2	2	HET		
chr7	143914370	144068163	153793.0	2	3	ASCNA		
chr7	144073995	149588041	5514046.0	2	2	NLOH		
chr7	149588110	150083370	495260.0	2	2	HET		
chr7	150083805	151911410	1827605.0	2	2	HET		
chr7	151929704	152108421	178717.0	2	1	DLOH		
chr7	152108452	159116528	7008076.0	2	2	HET		
chr8	45687	2193931	2148244.0	2	2	HET		
chr8	2193975	2283219	89244.0	2	2	HET		
chr8	2283516	7012216	4728700.0	2	2	HET		
chr8	7016425	8095880	1079455.0	2	2	HET		
chr8	8103473	12008410	3904937.0	2	2	HET		
chr8	12017783	12463887	446104.0	2	3	ASCNA		
chr8	12470054	23117643	10647589.0	2	2	HET		
chr8	23118155	23402438	284283.0	2	4	BCNA		
