chr	start	end	width	nvar	copy_number	lohtype	major_allele	minor_allele
chr1	16495	595259	578764.0	4	5	ASCNA		
chr1	596629	749482	152853.0	4	2	HET		
chr1	787290	861901	74611.0	4	2	DLOH		
chr1	863020	1639685	776665.0	4	2	DLOH		
chr1	1641369	1648826	7457.0	4	2	HET		
chr1	1649122	2651883	1002761.0	4	2	DLOH		
chr1	2653084	2775273	122189.0	4	3	HET		
chr1	2777382	3426645	649263.0	4	2	DLOH		
chr1	3426931	3443262	16331.0	4	2	DLOH		
chr1	3445794	5061003	1615209.0	4	2	DLOH		
chr1	5061930	5075722	13792.0	4	2	DLOH		
chr1	5076150	5443469	367319.0	4	2	DLOH		
chr1	5443822	5456798	12976.0	4	2	DLOH		
chr1	5458250	7494375	2036125.0	4	2	DLOH		
chr1	7494521	8344033	849512.0	4	2	DLOH		
chr1	8344885	8375632	30747.0	4	2	DLOH		
chr1	8376742	9076346	699604.0	4	2	DLOH		
chr1	9077072	9081283	4211.0	4	2	DLOH		
chr1	9081829	11631404	2549575.0	4	2	DLOH		
chr1	11631897	11695615	63718.0	4	2	DLOH		
chr1	11721077	12893777	1172700.0	4	2	DLOH		
chr1	12898260	12950223	51963.0	4	2	HET		
chr1	13005570	13224331	218761.0	4	2	DLOH		
chr1	13224727	13228235	3508.0	4	2	DLOH		
chr1	13228280	13234982	6702.0	4	3	DLOH		
chr1	13235857	13241254	5397.0	4	0	HOMD		
chr1	13241484	13282689	41205.0	4	4	HET		
chr1	13286322	15411432	2125110.0	4	2	DLOH		
chr1	15411556	15417990	6434.0	4	2	DLOH		
chr1	15418884	16504842	1085958.0	4	2	DLOH		
chr1	16507223	16516670	9447.0	4	2	HET		
chr1	16517019	16534037	17018.0	4	2	DLOH		
chr1	16534430	16646514	112084.0	4	2	DLOH		
chr1	16647526	16711981	64455.0	4	2	DLOH		
chr1	16712544	16723241	10697.0	4	2	HET		
chr1	16724480	16863578	139098.0	4	2	HET		
chr1	16864608	16891512	26904.0	4	2	HET		
chr1	16892249	16912763	20514.0	4	2	DLOH		
chr1	16913043	16919016	5973.0	4	2	HET		
chr1	16919140	16929229	10089.0	4	2	DLOH		
chr1	16929456	16934986	5530.0	4	2	HET		
chr1	16937062	18114441	1177379.0	4	2	DLOH		
chr1	18115366	18123827	8461.0	4	2	DLOH		
chr1	18124101	18332674	208573.0	4	2	DLOH		
chr1	18335089	18390088	54999.0	4	2	DLOH		
chr1	18390468	18437345	46877.0	4	3	DLOH		
chr1	18437781	18442971	5190.0	4	2	DLOH		
chr1	18443136	18721862	278726.0	4	2	DLOH		
chr1	18722165	18744688	22523.0	4	2	DLOH		
chr1	18749778	19671992	922214.0	4	2	DLOH		
chr1	19672411	19678853	6442.0	4	2	DLOH		
chr1	19679852	20801927	1122075.0	4	2	DLOH		
chr1	20808104	20818468	10364.0	4	2	DLOH		
chr1	20819652	21396151	576499.0	4	2	DLOH		
chr1	21397186	21504922	107736.0	4	3	HET		
chr1	21534234	21981938	447704.0	4	2	DLOH		
chr1	21981942	22020759	38817.0	4	2	HET		
chr1	22021611	24208948	2187337.0	4	2	DLOH		
chr1	24209147	24225878	16731.0	4	2	DLOH		
chr1	24226345	25759282	1532937.0	4	2	DLOH		
chr1	25762127	25797165	35038.0	4	2	DLOH		
chr1	25797480	27648339	1850859.0	4	2	DLOH		
chr1	27663109	27759807	96698.0	4	2	DLOH		
chr1	27767992	29438288	1670296.0	4	2	DLOH		
chr1	29439350	29452648	13298.0	4	2	DLOH		
chr1	29453611	29586448	132837.0	4	2	DLOH		
chr1	29586831	29598582	11751.0	4	2	DLOH		
chr1	29600481	29682030	81549.0	4	2	DLOH		
chr1	29682494	29688087	5593.0	4	2	DLOH		
chr1	29689160	30010749	321589.0	4	2	DLOH		
chr1	30011218	30030185	18967.0	4	2	DLOH		
chr1	30031735	30988591	956856.0	4	2	DLOH		
chr1	30991575	46057780	15066205.0	4	6	ASCNA		
chr1	46133231	120010108	73876877.0	4	4	HET		
chr1	120047826	121748923	1701097.0	4	4	NLOH		
chr1	121754307	124997413	3243106.0	4	4	HET		
chr1	125003741	125161193	157452.0	4	4	HET		
chr1	125163138	145678762	20515624.0	4	4	HET		
chr1	145680051	146126802	446751.0	4	4	HET		
chr1	146134204	147019936	885732.0	4	4	HET		
chr1	147034358	147998598	964240.0	4	4	HET		
chr1	148001632	149805827	1804195.0	4	4	NLOH		
chr1	149843756	192916801	43073045.0	4	4	HET		
chr1	192917269	192923185	5916.0	4	4	HET		
chr1	192923982	234773551	41849569.0	4	4	HET		
chr1	234776567	234810080	33513.0	4	3	HET		
chr1	234811025	248373503	13562478.0	4	4	HET		
chr1	248383502	248658755	275253.0	4	5	ASCNA		
chr1	248659535	248945554	286019.0	4	6	ASCNA		
chr2	20807	15989771	15968964.0	4	4	HET		
chr2	16593739	30693519	14099780.0	4	4	HET		
chr2	30720603	86899541	56178938.0	4	4	HET		
chr2	86902578	87864129	961551.0	4	4	HET		
